#	sample	cell	Sts_score	comments_unified	comments_ADS	final	medbin	mapped	suppl	dupl	mapq	read2	good	pass1	nb_p	nb_r	nb_a	hgsvc_sample	lib_id
0	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20401	1.0	good	no_comments_made	1	35	1633946	806	475367	110531	522721	524521	1	0.31303	16.3915	0.1	NA12329	02PE20401
1	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20402	0.0	low_cov	empty	0	0	9707	8	843	894	3609	4353	0	0.0	0.0	0.0	NA12329	02PE20402
2	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20403	0.5	low_cov	low_cov	1	3	155510	97	25558	11754	58943	59158	1	0.31303	1.84558	0.1	NA12329	02PE20403
3	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20404	1.0	good	no_comments_made	1	14	675771	369	175663	48041	225379	226319	1	0.31303	7.0598	0.1	NA12329	02PE20404
4	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20405	0.5	OK	just_OK	1	5	284307	94	84210	17496	91115	91392	1	0.31303	2.85655	0.1	NA12329	02PE20405
5	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20406	1.0	good	no_comments_made	1	10	501184	271	139799	30520	164973	165621	1	0.31303	5.17745	0.1	NA12329	02PE20406
6	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20407	0.5	under_BrdU	some_incomple_BrdU?	1	20	955922	483	275121	63240	308104	308974	1	0.31303	9.65917	0.1	NA12329	02PE20407
7	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20408	0.0	low_cov	empty	0	0	3944	0	39	225	1830	1850	0	0.0	0.0	0.0	NA12329	02PE20408
8	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20409	0.0	low_Q	some_bg	0	6	275336	158	68472	17176	94557	94973	1	0.31303	2.96926	0.1	NA12329	02PE20409
9	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20410	1.0	good	no_comments_made	1	21	979796	471	262897	65023	325171	326234	1	0.31303	10.1894	0.1	NA12329	02PE20410
10	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20411	0.0	low_cov	low_cov	0	2	107172	52	8782	7922	44886	45530	0	0.0	0.0	0.0	NA12329	02PE20411
11	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20412	0.0	over_BrdU	large_gaps_-_2x_BrdU	0	21	909439	327	249161	52370	303165	304416	1	0.31303	9.54116	0.1	NA12329	02PE20412
12	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20413	1.0	good	no_comments_made	1	21	962162	495	246552	67384	323359	324372	1	0.31303	10.1351	0.1	NA12329	02PE20413
13	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20414	1.0	good	no_comments_made	1	19	884600	432	250259	54525	289212	290172	1	0.31303	9.05502	0.1	NA12329	02PE20414
14	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20415	1.0	OK	some_bg	1	18	835752	440	221736	58246	277176	278154	1	0.31303	8.6832	0.1	NA12329	02PE20415
15	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20416	1.0	good	no_comments_made	1	8	334105	187	49080	25364	129436	130038	1	0.31303	4.05749	0.1	NA12329	02PE20416
16	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20417	0.0	under_BrdU	incomple_BrdU	0	18	854314	407	244176	54857	276941	277933	1	0.31303	8.68604	0.1	NA12329	02PE20417
17	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20418	1.0	good	no_comments_made	1	20	931597	457	250070	62898	308616	309556	1	0.31303	9.66667	0.1	NA12329	02PE20418
18	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20419	0.0	low_cov	low_cov	0	0	52435	23	2130	3788	23207	23287	0	0.0	0.0	0.0	NA12329	02PE20419
19	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20420	1.0	good	no_comments_made	1	21	931723	466	216309	63808	325004	326136	1	0.31303	10.1823	0.1	NA12329	02PE20420
20	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20421	0.0	under_BrdU	incomple_BrdU	0	15	700844	335	176293	46190	238597	239429	1	0.31303	7.47908	0.1	NA12329	02PE20421
21	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20422	1.0	good	no_comments_made	1	26	1197160	548	334495	81748	389631	390738	1	0.31303	12.2045	0.1	NA12329	02PE20422
22	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20423	1.0	good	no_comments_made	1	45	2008444	1010	588587	102396	657121	659330	1	0.31303	20.6308	0.1	NA12329	02PE20423
23	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20424	0.0	low_Q	no_comment_made_	0	0	2325	1	14	171	1055	1084	0	0.0	0.0	0.0	NA12329	02PE20424
24	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20425	1.0	good	no_comments_made	1	10	476073	275	128057	33262	156980	157499	1	0.31303	4.91702	0.1	NA12329	02PE20425
25	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20426	1.0	good	no_comments_made	1	9	433512	171	133045	25464	137185	137647	1	0.31303	4.30805	0.1	NA12329	02PE20426
26	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20427	1.0	good	no_comments_made	1	9	391953	238	67257	28610	147556	148292	1	0.31303	4.62899	0.1	NA12329	02PE20427
27	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20428	1.0	good	no_comments_made	1	11	555172	283	156437	38858	179474	180120	1	0.31303	5.62467	0.1	NA12329	02PE20428
28	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20429	1.0	good	no_comments_made	1	17	842098	461	239555	58678	271262	272142	1	0.31303	8.49698	0.1	NA12329	02PE20429
29	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20430	1.0	good	no_comments_made	1	31	1489894	889	441150	103028	471574	473253	1	0.31303	14.7627	0.1	NA12329	02PE20430
30	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20431	1.0	good	no_comments_made	1	12	583498	272	158622	39307	192374	192923	1	0.31303	6.02537	0.1	NA12329	02PE20431
31	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20432	0.0	low_Q	no_comment_made_	0	0	5309	5	58	379	2399	2468	0	0.0	0.0	0.0	NA12329	02PE20432
32	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20433	0.0	over_BrdU	large_gaps_-_2x_BrdU	0	22	1000534	385	292044	66238	320445	321422	1	0.31303	10.0587	0.1	NA12329	02PE20433
33	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20434	1.0	good	no_comments_made	1	12	637011	304	202570	43529	194981	195627	1	0.31303	6.11187	0.1	NA12329	02PE20434
34	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20435	1.0	good	no_comments_made	1	18	919441	470	288501	62937	283256	284277	1	0.31303	8.87536	0.1	NA12329	02PE20435
35	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20436	1.0	good	no_comments_made	1	20	967028	470	287581	63451	307337	308189	1	0.31303	9.62719	0.1	NA12329	02PE20436
36	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20437	1.0	good	no_comments_made	1	9	470358	224	138017	31596	149966	150555	1	0.31303	4.70541	0.1	NA12329	02PE20437
37	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20438	0.0	under_BrdU	incomple_BrdU	0	17	889910	415	299827	59680	264529	265459	1	0.31303	8.29379	0.1	NA12329	02PE20438
38	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20439	0.0	low_cov	low_cov	0	0	33579	25	828	2201	15224	15301	0	0.0	0.0	0.0	NA12329	02PE20439
39	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20440	0.0	wgs	100c?_Wgs	0	85	4720514	3151	2011900	241923	1229602	1233938	1	0.31303	38.5907	0.1	NA12329	02PE20440
40	HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20441	0.0	under_BrdU	incomple_BrdU	0	13	641381	275	189604	40520	205157	205825	1	0.31303	6.439	0.1	NA12329	02PE20441
