#sample: fastq file name.
#cell: cell identifier.
#score: binary score for Strand-seq library quality; 1=high; 0=low.
#comment: annotation of how library performed (as assessed by ADS).
#reads:  Filtered reads used for counting.
sample	cell	score	comments	reads
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20484	1	unstable	402296
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20485	1	pass	357816
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20486	1	pass	178224
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20487	1	bg	1018480
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20489	1	pass	534017
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20491	1	pass	205991
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20493	1	pass	233435
HVWVWAFXY_GM12329Ax02_19s004318-1-1	GM12329x02PE20494	1	pass	214555
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20301	1	pass	334522
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20302	1	bg	99778
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20303	0	2x_BrdU	437573
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20304	1	pass	399254
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20306	1	pass	522074
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20307	0	low_cov	12665
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20308	1	pass	395784
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20309	1	pass	494041
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20311	1	pass	471502
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20312	1	pass	412979
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20313	0	2x_BrdU	274197
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20314	1	pass	233978
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20315	0	low_Q	15731
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20316	1	pass	532460
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20317	1	pass	363208
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20318	0	low_cov	14149
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20319	0	2x_BrdU	322161
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20320	1	pass	452288
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20321	1	pass	188662
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20322	1	pass	518369
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20324	1	pass	466252
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20325	1	pass	334836
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20327	1	pass	355073
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20328	0	2x_BrdU	276613
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20329	1	pass	284355
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20330	1	pass	311607
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20331	1	pass	160802
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20332	1	pass	376796
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20333	1	pass	399572
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20334	0	low_cov	85196
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20335	1	pass	137287
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20336	1	pass	276544
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20337	0	2x_BrdU	197689
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20338	0	2x_BrdU	380612
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20340	1	pass	431048
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20341	1	pass	337335
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20343	0	2x_BrdU	272455
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20344	0	low_Q	176626
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20345	1	pass	287027
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20346	1	pass	441140
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20348	1	pass	186601
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20349	1	pass	310842
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20350	1	pass	437483
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20351	0	2x_BrdU	268931
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20352	0	low_Q	162852
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20353	1	pass	246104
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20354	1	pass	344100
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20355	1	pass	328659
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20356	0	2x_BrdU	431598
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20357	1	pass	433833
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20358	0	low_Q	25063
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20359	0	2x_BrdU	208096
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20360	0	2x_BrdU	228143
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20361	0	2x_BrdU	360786
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20362	1	pass	402632
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20363	1	pass	351437
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20365	1	pass	461692
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20366	0	low_Q	68306
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20367	0	low_Q	5257
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20368	1	pass	265659
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20369	1	pass	332276
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20371	1	pass	387250
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20372	1	pass	521003
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20373	1	pass	413453
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20374	0	low_cov	17678
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20375	1	pass	232676
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20376	1	pass	370786
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20377	1	pass	140159
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20378	0	low_Q	129923
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20379	1	pass	343226
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20380	0	2x_BrdU	434586
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20381	1	pass	392318
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20382	1	unstable	378436
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20383	1	bg	182578
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20384	1	pass	315357
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20385	0	2x_BrdU	365347
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20386	0	2x_BrdU	380912
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20387	1	pass	402356
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20388	0	2x_BrdU	364532
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20389	1	pass	374456
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20390	0	2x_BrdU	398894
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20391	1	unstable	311927
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20393	1	bg	187910
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20394	1	pass	478420
HVVTKAFXY_GM18534Bx02_19s004692-1-1	GM18534Bx02PE20396	1	pass	271520
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20401	1	pass	634710
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20402	1	pass	729201
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20403	1	pass	458755
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20404	0	2x_BrdU	577696
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20406	1	low_Q	312042
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20407	0	low_Q	58467
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20408	0	low_Q	44127
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20409	1	pass	426845
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20410	0	2x_BrdU	326266
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20411	1	pass	534829
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20412	1	pass	834885
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20413	1	pass	402935
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20415	1	just_OK	269092
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20416	1	pass	443571
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20417	1	pass	554002
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20418	0	2x_BrdU	588991
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20421	0	2x_BrdU	471858
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20422	1	pass	640353
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20425	1	pass	428088
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20427	1	pass	441957
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20428	1	pass	421473
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20429	1	2x_BrdU	856741
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20433	1	pass	251739
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20434	0	2x_BrdU	313292
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20435	1	pass	300811
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20436	0	low_Q	173356
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20437	1	pass	492946
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20438	1	pass	396617
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20441	1	pass	421861
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20442	1	pass	403746
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20443	1	pass	422622
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20444	1	pass	197228
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20445	1	pass	242333
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20446	1	just_OK	177990
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20447	1	pass	743392
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20449	1	pass	633150
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20450	0	2x_BrdU	343668
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20452	0	2x_BrdU	530058
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20453	1	pass	469156
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20455	1	pass	799203
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20457	1	pass	521360
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20458	1	pass	507984
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20459	1	pass	330051
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20460	1	unstable	460327
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20461	1	just_OK	75312
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20462	1	pass	340253
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20465	0	2x_BrdU	395933
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20466	0	2x_BrdU	405403
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20467	1	pass	462654
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20468	0	low_Q	119306
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20469	1	pass	324480
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20470	1	pass	387107
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20471	1	bg	651564
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20474	0	low_cov	23636
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20478	1	pass	235059
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20483	1	just_OK	102997
HWV7FAFXY_GM18939x02_19s004812-1-1	GM18939x02PE20486	1	pass	609521
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20301	1	pass	287458
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20302	0	2x_BrdU	245468
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20303	1	pass	256450
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20304	1	pass	530705
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20305	1	pass	512541
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20306	1	2x_BrdU	312631
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20307	0	2x_BrdU	298631
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20308	0	low_Q	181132
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20309	1	pass	259052
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20311	1	pass	171652
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20312	1	pass	337026
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20313	1	pass	375559
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20314	0	2x_BrdU	495959
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20315	1	pass	501397
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20316	1	incompl_BrdU	240879
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20317	0	2x_BrdU	159966
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20319	0	low_Q	73312
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20320	1	unstable	253902
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20321	1	pass	341203
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20322	1	pass	414914
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20323	1	pass	458045
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20324	0	2x_BrdU	560050
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20325	1	pass	193751
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20326	0	2x_BrdU	199626
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20329	1	pass	448872
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20331	1	pass	336627
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20333	0	2x_BrdU	349757
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20334	1	2x_BrdU	490236
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20335	1	pass	216440
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20336	1	pass	144668
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20337	0	2x_BrdU	295005
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20338	1	pass	459675
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20340	1	pass	582014
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20341	1	pass	456073
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20342	1	pass	342995
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20343	1	unstable	304866
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20344	1	pass	322853
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20346	1	low_cov	57949
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20347	1	pass	308416
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20348	1	pass	1183868
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20349	0	low_cov	58343
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20350	1	unstable	358596
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20351	1	pass	486937
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20353	0	2x_BrdU	350976
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20355	1	pass	348260
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20356	0	low_cov	30170
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20357	0	low_cov	31863
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20358	0	2x_BrdU	290378
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20359	1	pass	430627
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20360	1	pass	391016
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20361	1	pass	309274
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20362	0	2x_BrdU	384041
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20363	1	pass	472742
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20364	0	low_Q	54839
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20365	1	pass	159622
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20366	0	2x_BrdU	345756
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20367	0	low_Q	128484
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20368	0	2x_BrdU	387207
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20370	1	unstable	474174
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20371	1	unstable	870039
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20373	0	2x_BrdU	119494
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20374	1	pass	477119
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20375	1	pass	462885
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20377	0	2x_BrdU	277236
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20378	1	pass	262793
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20379	1	pass	864105
HVWVWAFXY_GM19036Bx02_19s004318-1-1	GM19036Bx02PE20381	0	2x_BrdU	179671
