cluster10_h1tg000002l	14489007	HG00512	h1	-	p.cyaninv	6965	4273
cluster10_h1tg000002l	14489007	HG00512	h1	-	blue	67144	25372
cluster10_h1tg000002l	14489007	HG00512	h1	-	orange	167791	121686
cluster10_h1tg000002l	14489007	HG00512	h1	-	blue	263974	222208
cluster10_h1tg000002l	14489007	HG00512	h1	-	cyan	301211	282374
cluster10_h1tg000002l	14489007	HG00512	h1	-	green	343024	318853
cluster10_h1tg000002l	14489007	HG00512	h1	-	pink	383650	343024
cluster10_h1tg000002l	14489007	HG00512	h1	-	orangeinv	443616	396377
cluster10_h1tg000002l	14489007	HG00512	h1	-	beigeinv	474047	446441
cluster10_h1tg000002l	14489007	HG00512	h1	-	purpleinv	528144	489205
cluster10_h1tg000002l	14489007	HG00512	h1	-	green	566222	542016
cluster10_h1tg000002l	14489007	HG00512	h1	-	pink	592692	566222
cluster10_h1tg000003l	15235701	HG00512	h1	-	purple	14949267	14910361
cluster10_h1tg000003l	15235701	HG00512	h1	-	beige	14993334	14964462
cluster10_h1tg000003l	15235701	HG00512	h1	-	pinkinv	15043516	15012300
cluster10_h1tg000003l	15235701	HG00512	h1	-	greeninv	15067678	15043516
cluster10_h1tg000003l	15235701	HG00512	h1	-	cyaninv	15104162	15085343
cluster10_h1tg000003l	15235701	HG00512	h1	-	orange	15177480	15130684
cluster10_h1tg000003l	15235701	HG00512	h1	-	pinkinv	15226168	15185871
cluster10_h1tg000003l	15235701	HG00512	h1	-	p.greeninv	15234703	15226168
cluster10_h2tg000009l	28600764	HG00512	h2	+	pink	13757661	13784129
cluster10_h2tg000009l	28600764	HG00512	h2	+	green	13784129	13808334
cluster10_h2tg000009l	28600764	HG00512	h2	+	purpleinv	13822205	13861143
cluster10_h2tg000009l	28600764	HG00512	h2	+	beigeinv	13876301	13903906
cluster10_h2tg000009l	28600764	HG00512	h2	+	orangeinv	13906730	13953968
cluster10_h2tg000009l	28600764	HG00512	h2	+	pink	13966694	14007318
cluster10_h2tg000009l	28600764	HG00512	h2	+	green	14007318	14031491
cluster10_h2tg000009l	28600764	HG00512	h2	+	cyan	14049131	14067967
cluster10_h2tg000009l	28600764	HG00512	h2	+	blue	14086367	14128131
cluster10_h2tg000009l	28600764	HG00512	h2	+	orange	14182546	14228649
cluster10_h2tg000009l	28600764	HG00512	h2	+	blue	14283189	14324959
cluster10_h2tg000009l	28600764	HG00512	h2	+	cyaninv	14343363	14362175
cluster10_h2tg000009l	28600764	HG00512	h2	+	greeninv	14379818	14404038
cluster10_h2tg000009l	28600764	HG00512	h2	+	pinkinv	14404038	14444327
cluster10_h2tg000009l	28600764	HG00512	h2	+	orange	14452717	14499534
cluster10_h2tg000009l	28600764	HG00512	h2	+	cyaninv	14526058	14544876
cluster10_h2tg000009l	28600764	HG00512	h2	+	greeninv	14562541	14586709
cluster10_h2tg000009l	28600764	HG00512	h2	+	pinkinv	14586709	14617909
cluster10_h2tg000009l	28600764	HG00512	h2	+	beige	14636858	14665729
cluster10_h2tg000009l	28600764	HG00512	h2	+	purple	14680925	14719803
cluster2_h1tg000005l	35324532	HG00513	h1	-	purple	35089857	35050973
cluster2_h1tg000005l	35324532	HG00513	h1	-	beige	35133933	35105057
cluster2_h1tg000005l	35324532	HG00513	h1	-	pinkinv	35188800	35152883
cluster2_h1tg000005l	35324532	HG00513	h1	-	greeninv	35212981	35188800
cluster2_h1tg000005l	35324532	HG00513	h1	-	cyaninv	35249509	35230655
cluster2_h1tg000005l	35324532	HG00513	h1	-	orange	35322857	35276033
cluster2_h1tg000007l	15936812	HG00513	h1	+	pink	15313194	15339685
cluster2_h1tg000007l	15936812	HG00513	h1	+	green	15339685	15363892
cluster2_h1tg000007l	15936812	HG00513	h1	+	purpleinv	15377762	15416693
cluster2_h1tg000007l	15936812	HG00513	h1	+	beigeinv	15431834	15459443
cluster2_h1tg000007l	15936812	HG00513	h1	+	orangeinv	15462267	15509526
cluster2_h1tg000007l	15936812	HG00513	h1	+	pink	15517908	15558207
cluster2_h1tg000007l	15936812	HG00513	h1	+	green	15558207	15582436
cluster2_h1tg000007l	15936812	HG00513	h1	+	cyan	15600081	15618896
cluster2_h1tg000007l	15936812	HG00513	h1	+	blue	15637302	15679078
cluster2_h1tg000007l	15936812	HG00513	h1	+	orangeinv	15733617	15777925
cluster2_h1tg000007l	15936812	HG00513	h1	+	pink	15792842	15819341
cluster2_h1tg000007l	15936812	HG00513	h1	+	green	15819341	15843518
cluster2_h1tg000007l	15936812	HG00513	h1	+	cyan	15861173	15879990
cluster2_h1tg000007l	15936812	HG00513	h1	+	blueinv	15898391	15940194
cluster2_h2tg000004l	12477618	HG00513	h2	-	purple	7849682	7810777
cluster2_h2tg000004l	12477618	HG00513	h2	-	beige	7893754	7864880
